Job_Title,Skills,Budget,Time_Posted,Job_Link
Mobile Action/Adventure Game Development,"iPhone, Game Design, 3D Modelling, Unity 3D, Game Development, Game Testing, Unity","₹12,500 - 37,500 INR",half a minute ago,https://www.freelancer.in/projects/unity/Mobile-Action-Adventure-Game-Development.html
Blogger Services,"PHP, XML, Android, WordPress, Google Analytics, Web Development","₹600 - 1,500 INR",half a minute ago,https://www.freelancer.in/projects/web-development/Blogger-Services.html
Twilio-Integrated Web App Development,"PHP, Website Design, Mobile App Development, HTML, UI / User Interface, Web Development, Vue.js, Twilio",$30 - 250 NZD,half a minute ago,https://www.freelancer.in/projects/twilio/Twilio-Integrated-Web-App-Development.html
Maquetador/a Frontend con Bootstrap 5 + SCSS para proyecto puntual de software web,"JavaScript, HTML5, HTML, LESS/Sass/SCSS, CSS3","€1,500 - 3,000 EUR",half a minute ago,https://www.freelancer.in/projects/html5/Maquetador-Frontend-con-Bootstrap-SCSS.html
Cartoonish Wilderness 3D Game Environment Design -- 2,"3D Rendering, Animation, Maya, 3D Modelling, 3D Animation",$250 - 750 USD,2 minutes ago,https://www.freelancer.in/projects/3d-modelling/Cartoonish-Wilderness-Game-Environment.html
WordPress Site for Youth Club,"PHP, Website Design, Graphic Design, WordPress, HTML","₹600 - 1,500 INR",3 minutes ago,https://www.freelancer.in/projects/wordpress/WordPress-Site-for-Youth-Club.html
Tamil-Speaking Bookkeeper - 03/07/2025 03:16 EDT,"Data Entry, Accounting, Excel, Finance, Tamil Translator, Bookkeeping, Financial Planning","₹12,500 - 37,500 INR",4 minutes ago,https://www.freelancer.in/projects/accounting/Tamil-Speaking-Bookkeeper-EDT.html
interior designer,"Building Architecture, 3D Rendering, Home Design, AutoCAD, Interior Design",$250 - 750 USD,5 minutes ago,https://www.freelancer.in/projects/rendering/interior-designer-35769322.html
Power Apps Expense Report Portal,"Software Architecture, Sharepoint, Microsoft Office, Web Development, Microsoft Azure, PowerApps, Power Automate",€30 - 250 EUR,5 minutes ago,https://www.freelancer.in/projects/microsoft-azure/Power-Apps-Expense-Report-Portal.html
Pharma Product Site Demo Creation,"Website Design, Graphic Design, CSS, Animation, HTML, UI / User Interface, Figma, Web Design",$30 - 250 USD,8 minutes ago,https://www.freelancer.in/projects/web-design/Pharma-Product-Site-Demo-Creation.html
Cooperative Management System Developer,"PHP, Website Design, Data Entry, MySQL, HTML, Software Development, Database Design, Data Management",$15 - 25 USD,less than a minute ago,https://www.freelancer.in/projects/database-design/cooperative-management-system-developer
Tamil-speaking Virtual Assistant Needed,"Data Entry, Excel, Transcription, Virtual Assistant, Hindi Translator","₹750 - 1,250 INR",1 minute ago,https://www.freelancer.in/projects/data-entry/tamil-speaking-virtual-assistant-needed
Supplier Data Entry for Docuware,"Data Processing, Data Entry, Excel, Software Architecture","₹750 - 1,250 INR",1 minute ago,https://www.freelancer.in/projects/data-entry/supplier-data-entry-for-docuware-39571058
Factory Website for Tiles and Bricks,"PHP, Website Design, Graphic Design, SEO, HTML","₹1,500 - 12,500 INR",2 minutes ago,https://www.freelancer.in/projects/website-design/factory-website-for-tiles-bricks
Excel Automation Specialist Needed,"Visual Basic, Data Processing, Data Entry, Excel, Excel VBA, Excel Macros, Data Analysis, Data Management",$250 - 750 USD,2 minutes ago,https://www.freelancer.in/projects/visual-basic/excel-automation-specialist-needed-39571100
Modern 2BHK Floor Plan Design,"Building Architecture, AutoCAD, Interior Design, 3D Design, Building Design, Building Information Modeling, Floor Plan, Architecture","₹600 - 1,000 INR",3 minutes ago,https://www.freelancer.in/projects/floor-plan/modern-bhk-floor-plan-design
B2B Sales Agent/Appointment setter Needed,"Data Entry, Telemarketing, Sales, Marketing, Leads, Appointment Setting, B2B Marketing",$15 - 25 USD,3 minutes ago,https://www.freelancer.in/projects/appointment-setting/sales-agent-appointment-setter-needed-39571024
Windows Web App Development,"Python, C# Programming, Software Architecture, C++ Programming, Software Development, Web Development, Software Engineering, Web Application","₹1,500 - 12,500 INR",8 minutes ago,https://www.freelancer.in/projects/web-development/windows-web-app-development
Excel Data Consolidation,"Visual Basic, Data Processing, Data Entry, Excel, Excel Macros, Data Visualization, Data Analysis, Data Management","₹600 - 1,500 INR",11 minutes ago,https://www.freelancer.in/projects/data-analysis/excel-data-consolidation
Tamil-Speaking Bookkeeper,"Data Entry, Accounting, Excel, Finance, Bookkeeping, Financial Planning","₹750 - 1,250 INR",23 minutes ago,https://www.freelancer.in/projects/data-entry/tamil-speaking-bookkeeper
